TICKER_WIG_CHEMIA,NAME_WIG_CHEMIA,TICKER_WIG_SPOZYWCZY,NAME_WIG_SPOZYWCZY,TICKER_WIG_ODZIEZ,NAME_WIG_ODZIEZ
ATT,Grupa Azoty SA,AMB,Grupa Ambra SA,CCC,CCC SA
PCR,PCC Rokita SA,ATP,Atlanta Poland SA,CDL,CDRL SA
PCE,Grupa Azoty Police SA,HEL,Helio SA,EAH,Esotiq & Henderson SA
PWX,Polwax SA,IMC,IMC SA,HRP,Harper Hygienics SA
,,KVT,Krynica Vitamin SA,IPO,Intersport Polska SA
,,KSG,KSG Agro SA,LPP,LPP SA
,,MAK,Makarony Polskie SA,LBW,Lubawa SA
,,OTM,Zakłady Przemysłu Cukierniczego Otmuchów SA,MIR,Miraculum SA
,,PMP,Pamapol SA,MON,Monnari Trade SA
,,PPS,Przedsiębiorstwo Przemysłu Spożywczego PEPEES SA,PRT,Protektor SA
,,SEK,Seko SA,SNW,Sanwil Holding SA
,,TAR,Tarczyński SA,VRG,VRG SA
,,WWL,Wawel SA,WTN,Wittchen SA
